time          total        used        free      shared  buff/cache   available
Mem:        3935120        2253     3731839           1      201026     3915945
Mem:        3935120        2253     3731839           1      201026     3915945
Mem:        3935120        2254     3731839           1      201026     3915944
Mem:        3935120        2252     3731840           1      201026     3915946
Mem:        3935120        2252     3731841           1      201026     3915946
Mem:        3935120        2253     3731840           1      201026     3915945
Mem:        3935120        2254     3731839           1      201026     3915944
Mem:        3935120        2253     3731839           1      201026     3915945
Mem:        3935120        2254     3731839           1      201026     3915945
Mem:        3935120        2254     3731838           1      201026     3915944
Mem:        3935120        2254     3731839           1      201026     3915944
Mem:        3935120        2254     3731839           1      201026     3915945
Mem:        3935120        2254     3731838           1      201026     3915944
Mem:        3935120        2253     3731839           1      201026     3915945
Mem:        3935120        2253     3731839           1      201026     3915945
Mem:        3935120        2252     3731840           1      201026     3915946
Mem:        3935120        2254     3731839           1      201026     3915944
Mem:        3935120        2256     3731837           1      201026     3915942
Mem:        3935120        2256     3731837           1      201026     3915943
Mem:        3935120        2255     3731837           1      201026     3915943
Mem:        3935120        2256     3731836           1      201027     3915942
Mem:        3935120        2255     3731837           1      201027     3915943
Mem:        3935120        2254     3731838           1      201027     3915944
Mem:        3935120        2255     3731838           1      201027     3915944
Mem:        3935120        2255     3731838           1      201027     3915943
Mem:        3935120        2253     3731839           1      201027     3915945
Mem:        3935120        2252     3731840           1      201027     3915946
Mem:        3935120        2252     3731840           1      201027     3915946
Mem:        3935120        2251     3731841           1      201027     3915947
Mem:        3935120        2254     3731838           1      201027     3915944
Mem:        3935120        2253     3731839           1      201027     3915945
Mem:        3935120        2254     3731839           1      201027     3915945
Mem:        3935120        2254     3731839           1      201027     3915945
Mem:        3935120        2253     3731839           1      201027     3915945
Mem:        3935120        2252     3731840           1      201027     3915946
Mem:        3935120        2253     3731839           1      201027     3915945
Mem:        3935120        2253     3731840           1      201027     3915946
Mem:        3935120        2252     3731840           1      201027     3915946
Mem:        3935120        2253     3731839           1      201027     3915945
Mem:        3935120        2253     3731839           1      201027     3915945
Mem:        3935120        2254     3731839           1      201027     3915944
Mem:        3935120        2252     3731841           1      201027     3915946
Mem:        3935120        2251     3731841           1      201027     3915947
